config_type,n,rel_F_RMSE_pct,mean_meV_A,median_meV_A,p90_meV_A,p95_meV_A,max_meV_A,shape_guess
FORCED_Close0.375PtO2_neb_img00,1,37.699208322413156,67.92394117041476,67.92394117041476,67.92394117041476,67.92394117041476,67.92394117041476,broad/smooth
Close0.0Pt,7,37.64700037969994,74.46512960149458,72.557569168633,84.55172205254664,86.22354469665471,87.89536734076279,broad/smooth
FORCED_Close0.0Pt_neb_img05,1,37.09836523471883,77.88326419923006,77.88326419923006,77.88326419923006,77.88326419923006,77.88326419923006,broad/smooth
FORCED_Naf0.75PtOH2_neb_img09,1,36.82385666096902,77.2992666227671,77.2992666227671,77.2992666227671,77.2992666227671,77.2992666227671,broad/smooth
FORCED_Wet0.375PtOH2_neb_img00,1,36.78070842435859,55.16217948107794,55.16217948107794,55.16217948107794,55.16217948107794,55.16217948107794,broad/smooth
FORCED_Close0.25PtOH2_neb_img00,1,36.73804320030394,68.52590422355196,68.52590422355196,68.52590422355196,68.52590422355196,68.52590422355196,broad/smooth
Wet0.25PtOH2,2,36.14724493388908,53.34915257978323,53.34915257978323,57.62407795726322,58.15844362944822,58.69280930163322,broad/smooth
FORCED_Naf0.75PtO2_neb_img07,1,36.13605099813637,66.59410130351893,66.59410130351893,66.59410130351893,66.59410130351893,66.59410130351893,broad/smooth
FORCED_Close0.25PtOH_neb_img10,1,36.06145645104417,78.75278429137313,78.75278429137313,78.75278429137313,78.75278429137313,78.75278429137313,broad/smooth
fps_pt_diss_wet_framesv1_recalibrated,10,35.80692968884918,50.347442557902866,46.856546175100064,61.981142523893745,63.86040417460858,65.73966582532343,broad/smooth
FORCED_Close0.75PtOH_neb_img11,1,35.2205631634322,82.56744016184304,82.56744016184304,82.56744016184304,82.56744016184304,82.56744016184304,broad/smooth
FORCED_Naf0.25PtO2_neb_img00,1,35.05411017033875,70.96984074094541,70.96984074094541,70.96984074094541,70.96984074094541,70.96984074094541,broad/smooth
FORCED_Naf0.75neb4,1,34.75555192522501,70.67935734492563,70.67935734492563,70.67935734492563,70.67935734492563,70.67935734492563,broad/smooth
FORCED_Close0.375PtOH2_neb_img00,1,34.75155312286012,63.67989135580185,63.67989135580185,63.67989135580185,63.67989135580185,63.67989135580185,broad/smooth
FORCED_Naf0.375Neb4,1,34.624844561378815,70.57604523562445,70.57604523562445,70.57604523562445,70.57604523562445,70.57604523562445,broad/smooth
Close0.25PtO,6,33.95552638844413,78.57452775169156,76.06997530046529,89.37309461459199,95.33164905979025,101.29020350498851,broad/smooth
Wet1.0PtOH,2,33.91849580543375,66.66056933507357,66.66056933507357,75.2157798288011,76.28518114051705,77.35458245223299,broad/smooth
FORCED_Close0.75PtOH2_neb_img00,1,33.69423525206692,70.58593889415899,70.58593889415899,70.58593889415899,70.58593889415899,70.58593889415899,broad/smooth
FORCED_Close0.25PtO_neb_img00,1,33.67889574303594,66.90427824714553,66.90427824714553,66.90427824714553,66.90427824714553,66.90427824714553,broad/smooth
FORCED_Naf0.75Pt_neb_img10,1,33.66424412831875,81.84714220944548,81.84714220944548,81.84714220944548,81.84714220944548,81.84714220944548,broad/smooth
FORCED_Close0.25PtOH_neb_img00,1,33.59870299106714,67.13664166456756,67.13664166456756,67.13664166456756,67.13664166456756,67.13664166456756,broad/smooth
FORCED_Close0.75PtO2_neb_img00,1,33.333173374973676,69.42157140485932,69.42157140485932,69.42157140485932,69.42157140485932,69.42157140485932,broad/smooth
Close0.375PtO2,8,33.18745816810387,73.44936095262184,71.96482372855263,85.91105271442514,93.26804314788109,100.62503358133706,broad/smooth
Naf0.75Pt,5,33.1691379632987,78.72359936054762,75.71652179820246,92.09053688371428,93.87108818051216,95.65163947731004,broad/smooth
ptnv_optimised_structure,1,32.8851145454549,64.53056303216412,64.53056303216412,64.53056303216412,64.53056303216412,64.53056303216412,broad/smooth
FORCED_Close0.75Pt_neb_img05,1,32.51718123811555,78.20200440700962,78.20200440700962,78.20200440700962,78.20200440700962,78.20200440700962,broad/smooth
FORCED_Wet0.375PtO2_neb_img00,1,32.40916086358108,49.52856620038742,49.52856620038742,49.52856620038742,49.52856620038742,49.52856620038742,broad/smooth
Close0.375PtO,7,31.93664089751766,76.51688897330867,69.57378248799074,93.90449572586408,97.48196131537388,101.0594269048837,broad/smooth
Wet0.0Pt,4,31.645122369445236,46.501937458385186,45.606688791594024,49.334268650788886,50.01883702642293,50.70340540205698,broad/smooth
Wet0.375PtOH,5,31.48164433835283,54.57569159553473,53.06512481619447,59.315752294824044,59.44236585572651,59.56897941662897,broad/smooth
Close0.25PtOH,6,31.155294735537662,71.56147132402363,70.98317120416277,76.5405182067376,77.04927811005786,77.5580380133781,broad/smooth
FORCED_Close0.75PtOH_neb_img00,1,31.13801597889931,64.87247478146398,64.87247478146398,64.87247478146398,64.87247478146398,64.87247478146398,broad/smooth
FORCED_Close0.75PtO_neb_img05,1,30.994310017954064,69.13727047407998,69.13727047407998,69.13727047407998,69.13727047407998,69.13727047407998,broad/smooth
Close0.75PtOH2,8,30.941090252966518,90.39220322176186,70.36664251699305,133.33589190918332,162.50224871048601,191.66860551178874,broad/smooth
Naf0.25PtO2,3,30.809978543414626,72.70967454632294,70.45528487785275,78.61041200275244,79.62980289336491,80.64919378397737,broad/smooth
Close0.25Pt,6,30.777056958751697,67.1538339453716,67.5248762568315,71.88357220364219,72.58100131607085,73.27843042849953,broad/smooth
FORCED_Clo0.375Neb7,1,30.746556711513332,67.97048180801218,67.97048180801218,67.97048180801218,67.97048180801218,67.97048180801218,broad/smooth
Close0.375Pt,5,30.740140221298606,78.50328195806182,75.60638645986647,89.01168152991315,90.71387499800959,92.41606846610603,broad/smooth
FORCED_Naf0.75PtO2_neb_img04,1,30.29665376764572,77.65174352718195,77.65174352718195,77.65174352718195,77.65174352718195,77.65174352718195,broad/smooth
FORCED_Close0.25Pt_neb_img10,1,29.70089235786007,73.57103691286358,73.57103691286358,73.57103691286358,73.57103691286358,73.57103691286358,broad/smooth
FORCED_Wet0.375PtOH_neb_img00,1,29.21669500272158,46.389239318772574,46.389239318772574,46.389239318772574,46.389239318772574,46.389239318772574,broad/smooth
Naf0.75PtOH2,8,29.196549461694907,74.96325106878905,73.45075453227219,83.02920748670702,89.3129062085013,95.5966049302956,broad/smooth
Close0.25PtOH2,9,29.128115548845194,70.21064948425517,70.40671236245531,77.59174834639981,77.77453413019957,77.95731991399933,broad/smooth
Naf0.75PtOH,6,28.81962032811443,67.16453488806631,67.48066859449585,70.6437153750332,71.23039966184851,71.81708394866382,broad/smooth
Wet0.375Pt,1,28.510419679834804,49.199613123671895,49.199613123671895,49.199613123671895,49.199613123671895,49.199613123671895,broad/smooth
FORCED_Clo0.75Neb9,1,28.464248075109733,67.81580162491808,67.81580162491808,67.81580162491808,67.81580162491808,67.81580162491808,broad/smooth
FORCED_Close0.375PtO_neb_img07,1,28.248312439857724,79.49774141906119,79.49774141906119,79.49774141906119,79.49774141906119,79.49774141906119,broad/smooth
FORCED_Close0.75PtO2_neb_img11,1,28.201867849249826,65.9340401884648,65.9340401884648,65.9340401884648,65.9340401884648,65.9340401884648,broad/smooth
Naf0.75PtO2,7,28.028724479384657,71.81602384817764,69.20324080556594,79.02392597087065,84.58788585253214,90.15184573419367,broad/smooth
Close0.75PtOH,7,27.70434785881185,77.21052286651441,74.17170331203663,88.22121243917506,91.66702505238455,95.11283766559404,broad/smooth
FORCED_Close0.25PtO_neb_img08,1,27.65796804345393,74.25811139634804,74.25811139634804,74.25811139634804,74.25811139634804,74.25811139634804,broad/smooth
Wet0.25Pt,5,27.56676315822755,47.762059268432395,47.02915943110785,50.85216926131404,51.766230646377714,52.68029203144139,broad/smooth
FORCED_Nafion_four_dry_neb_img00,1,27.45785945174954,136.8382236789565,136.8382236789565,136.8382236789565,136.8382236789565,136.8382236789565,broad/smooth
FORCED_Close0.75Pt_neb_img07,1,27.075638452181032,65.7618288799529,65.7618288799529,65.7618288799529,65.7618288799529,65.7618288799529,broad/smooth
