config_type,n_frames,RMSE_E_meV_per_atom,RMSE_F_meV_per_A,rel_F_RMSE_pct
Wet0.375Pt,1,6.812365893438255,49.19958269580524,28.510402047353704
Wet0.375PtO,3,7.564838772219175,52.827767503592334,16.860782287502268
Wet0.375PtO2,7,5.970965063992477,56.185120991745976,23.216221287562323
Wet0.375PtOH,5,4.609674094148048,54.719346718554206,31.440016304672888
Wet0.375PtOH2,2,3.7804378085855834,52.490695795757745,20.55501613578633
Wet1.0Pt,2,5.5468867340636105,53.21774182179018,25.55254195764218
Wet1.0PtO,5,6.7948795147273575,58.87722631597022,26.09735632659747
Wet1.0PtO2,4,11.425907013316918,58.18113974404612,20.665088762085265
Wet1.0PtOH,2,5.439796868652713,67.51294053120829,34.407066276778174
Wet1.0PtOH2,5,7.337216385561805,52.53062613758589,24.682588222724842
Zig4x4sat_sol_initial,9,4.18690615090821,70.3512268388494,5.428552824205419
bot_dryo.375_pos_1,10,7.640105778871277,63.40620323300955,49.66115424008355
bulk_water_Pt,20,9.291926299092443,44.65397641984166,6.272352117078088
finalo2v_optimised_structure,1,6.530476043508315,57.0962200469819,73.3800543375251
finalv_optimised_structure,1,5.559292995940268,69.33234907296625,51.6057115927934
finoh0.75_optimised_structure,1,9.659571692168356,68.50392979172162,64.51182969011377
finoh20.75_optimised_structure,1,5.287919320949186,64.1629690611462,56.08713563177913
finoh2v_optimised_structure,1,5.182128355272653,58.75985897476253,62.117702586513545
finohv_optimised_structure,1,6.778812566381021,57.06467268044972,61.94914557286761
finov_optimised_structure,1,8.277589590761636,62.634625380561474,42.53267520636325
finv0.75_optimised_structure,1,5.233569613437794,68.62221236280435,59.963052072648175
fps_bulk_wet_pt_dissolved_wet_framesv1,8,8.989075197584807,44.58109058177672,6.758730827651363
fps_naf_naf_contaminants,5,5.105802925155409,52.09695030842587,8.429505902234784
fps_naf_naf_framesv1_recalibrated,10,10.06102006684783,80.06615022811654,14.681840179498423
fps_naf_naf_pt_framesv1_recalibrated,9,10.294036583319802,74.79918950757612,14.376737567997731
fps_pt_diss_naf_framesv1_recalibrated,10,7.376325639991869,68.30835865172622,25.52831313600125
fps_pt_diss_wet_framesv1_recalibrated,10,7.061364901950924,51.084721126641426,34.736779098256356
full_anti_12_initial,1,8.671926440570132,108.28784816134366,9.402255638811937
full_anti_15_initial,3,6.6686970494680295,107.38427211481383,8.760227308180003
full_anti_9_initial,3,5.951987470658643,118.34982244316708,9.333227761513903
full_cross_12_initial,7,7.487408295605633,111.59108617240904,9.1757168379458
full_cross_15_initial,9,7.611251468749292,113.409902466376,9.535873524904149
full_cross_9_initial,2,8.010963598599158,117.70819122919077,9.993409001200082
full_para_0_initial,1,11.2354036995157,130.65682938556557,10.957544031144282
full_para_12_initial,7,5.422393808571771,113.7890431165726,9.543129986493314
inoh0.75_optimised_structure,1,7.620129923338936,67.1655596549854,60.58991587835072
inoh20.75_optimised_structure,1,7.428210918533296,66.30385084465715,53.42346161064635
inputoh2_optimised_structure,1,4.436737414494019,56.73449563896459,66.38816625061733
inputptn0.375_optimised_structure,1,8.25323916672005,67.42942480699882,25.784983035599144
inputvoh_optimised_structure,1,4.928530366441919,52.781245722416394,62.40278428735197
mptrj_pt,8,86.91391086086004,99.88431986950269,10.875847979771832
nafbulkdismd_optimised_structure,1,7.209620841450715,72.7703054948462,11.657753363057223
nafion_single_unit,1,7.659498992495628,124.37541105177897,12.34500667473219
nafptparticle,1,16.754095937358215,69.74385358859394,5.494112214127723
nafptparticle_solvated,1,8.02775274837586,61.15948712230971,6.93895719535489
oc25_pt,17,14.201678118621073,43.23901057341239,4.461647561346742
pt3o4,1,33.93728628543613,79.29541475077022,99.94415117761939
pt3o4cell_optimised_structure,1,36.95085586832647,27.955287039758748,2.329924889458203
pt_particle_optimised_structure,1,28.31278178109642,11.343156433063113,1687.1941401555707
ptclosenaf0.25_optimised_structure,1,6.0506499837629235,72.15330570095246,43.3759292333412
ptclosenaf0.375_optimised_structure,1,5.672275114307013,64.64802792787162,84.28487499205892
ptclosenaf1.0_optimised_structure,1,3.632211913895844,72.17633591492806,61.746974498685596
ptdisnaf_optimised_structure,1,9.411074187568147,50.55950798008541,40.68875690715406
ptdissolved,1,16.073100377809624,74.90130684068848,19.951066526585258
ptn0.25_optimised_structure,1,9.456414044734629,72.42857943777234,11.786884852877707
ptn0.75_optimised_structure,1,8.65265301956697,70.29266877121286,69.20797106032468
ptn1.0_optimised_structure,1,6.692238015489238,69.93029382664383,45.10993816265944
