config_type,n_frames,RMSE_E_meV_per_atom,RMSE_F_meV_per_A,rel_F_RMSE_pct
FORCED_Naf0.375PtO2_neb_img06,1,11.100291695811393,73.30255848290626,9.188243860332857
FORCED_Naf0.375PtOH_neb_img00,1,6.3713406042325005,72.76629351427387,66.63641808524
FORCED_Naf0.375PtOH_neb_img08,1,13.457906562734934,77.71099414787787,49.890317510081374
FORCED_Naf0.375PtOH_neb_img10,1,8.134583157698216,68.74492111249879,55.15859135811395
FORCED_Naf0.375Pt_neb_img08,1,11.306684855867388,67.14037121169177,12.341334299117454
FORCED_Naf0.75O2neb10,1,7.291025386507499,81.83938382126094,38.83061244004512
FORCED_Naf0.75PtO2_neb_img00,1,8.724433591396519,73.14570404207599,64.2451931381352
FORCED_Naf0.75PtO2_neb_img04,1,21.380509105028978,77.65180994694104,30.296679682021278
FORCED_Naf0.75PtO2_neb_img07,1,9.630018086681957,66.59409855085953,36.13604950445693
FORCED_Naf0.75PtOH2_neb_img00,1,7.715095439948527,70.86402707696105,62.10471303103262
FORCED_Naf0.75PtOH2_neb_img08,1,9.772188770284629,76.8451829159133,47.318307202458136
FORCED_Naf0.75PtOH2_neb_img09,1,8.077198391561069,77.29935653847785,36.82389949505256
FORCED_Naf0.75PtOH_neb_img00,1,8.238512469574744,73.56475346034357,63.40543424520558
FORCED_Naf0.75PtOH_neb_img08,1,6.045410527235617,82.63620102464313,13.485086399682084
FORCED_Naf0.75PtOH_neb_img09,1,14.504144199008806,76.60826658945844,18.138902621868006
FORCED_Naf0.75Pt_neb_img06,1,6.890833847251088,73.21582566073674,55.85702172522974
FORCED_Naf0.75Pt_neb_img10,1,13.115895108398945,81.84714327726368,33.664244567519084
FORCED_Naf0.75neb4,1,13.730150171909372,70.67931558691241,34.755531391325846
FORCED_Naf0.75neb6,1,9.339445216255626,80.96885073147986,38.89116893966408
FORCED_Naf1.0PtO2_neb_img07,1,11.148076884865077,116.0702199065187,24.645121133644206
FORCED_Naf1.0PtOH2,1,4.729928548613316,61.712734639024674,45.08115966079297
FORCED_Naf1.0PtO_neb_img03,1,10.76412382599301,80.91664232271573,23.08106560688708
FORCED_Nafion_four_dry,1,9.280462958315638,135.16689390397002,55.6329619241551
FORCED_Nafion_four_dry_neb_img00,1,9.458275095994395,136.8382170826588,27.457858128141194
FORCED_Nafion_four_dry_neb_img11,1,9.175606674943992,135.16794495853844,55.63352349818533
FORCED_Nafion_single_dry,1,7.803776200375978,132.2242413438415,55.647441657423144
FORCED_Nafion_single_dry_neb_img00,1,8.383988474804482,127.5262855090358,14.011546550928554
FORCED_Nafion_single_dry_neb_img11,1,7.803722230164567,132.22175418720406,55.647087434730054
FORCED_Pt_particle_3_0,1,17.876326457098912,2.348652615054749,0.7610158578254053
FORCED_Pt_particle_4_1,1,21.122521353845514,33.09159738289337,24.226801229960518
FORCED_Pt_particle_6_2,1,2.2650888940916047,134.92479640798118,51.65240266881369
FORCED_Wet0.375PtO2_neb_img00,1,4.259260941921639,49.5286322461772,32.40920408083507
FORCED_Wet0.375PtOH2_neb_img00,1,5.0021472643493325,55.162191936996436,36.7807167296415
FORCED_Wet0.375PtOH2_neb_img07,1,8.311996802035537,59.61723794599775,15.723715963283444
FORCED_Wet0.375PtOH_neb_img00,1,6.791339768597027,46.38920866146164,29.21667569425012
FORCED_Wet0.375PtOH_neb_img07,1,10.886080182444857,55.995044295098666,12.751212794675132
FORCED_Wet0.375PtOH_neb_img08,1,5.827676095123024,58.63040979194725,11.965030246530361
FORCED_Wet0.375PtO_neb_img08,1,10.418505714255843,59.85366738898138,8.357563903112402
FORCED_Wet0.375Pt_neb_img10,1,6.369283696471939,55.07416678967939,24.102070282540467
FORCED_Zig4x4sat,1,14.461897364057563,22.13215920851175,7.420660784077428
Graph0.375Vac_initial,1,15.690499194022323,52.30745463011856,3.2422039698647174
Graph3V_initial,4,15.693173164792514,57.87140199683877,3.5357281984178908
Graph_initial,3,16.041700202686922,57.937822797496864,3.6397750610742325
Naf0.0Pt,6,7.51077576178115,75.49141810846938,52.78207449597713
Naf0.25Pt,4,8.775429750303207,80.07959311335836,43.12253059001343
Naf0.25PtO,8,9.725812404063124,70.92343334584426,40.151187282333865
Naf0.25PtO2,3,8.180023614320074,72.93947622430763,30.25763318265654
Naf0.25PtOH,3,6.8869770123264304,69.1011142139417,54.83698329085181
Naf0.25PtOH2,6,9.329612728464019,72.7846047379885,43.53501630324449
Naf0.375Pt,8,8.365908247169935,70.51607553335849,56.918833870166075
Naf0.375PtO,5,8.691816495998177,90.67966787662246,51.297707538516654
Naf0.375PtO2,11,9.12458562924945,68.64309408326123,52.105040135009205
Naf0.375PtOH,5,8.861335815048287,80.4546723372828,37.98919435306643
Naf0.375PtOH2,9,9.169414085201726,77.9061005491252,52.77598368811471
Naf0.75Pt,5,8.381740111416974,79.5107776985177,33.335679816739045
Naf0.75PtO,5,7.733316557424647,67.5770918667167,25.788599451455344
Naf0.75PtO2,7,9.003774186026792,72.22656074368253,25.354536788280942
Naf0.75PtOH,6,8.94707166656028,67.23771250936589,28.469879389413727
Naf0.75PtOH2,8,10.894594002403784,75.49500832603513,24.589415877428905
Naf1.0Pt,12,8.03522339182467,77.69190376398412,46.70501380844783
Naf1.0PtO,11,10.003899720469525,77.55276223340877,37.59804756553564
