idx,config_type,formula,natoms,dE_per_atom_meV,F_rmse_meV_A,F_ref_rms_meV_A,F_maxerr_meV_A,worst_atom_idx,worst_atom_sym,absdE,rel_F_pct
619,none,H116O58Pt64,238,-5.72069564921304,43.998535693806595,139.95563197654522,224.53774585758453,211,O,5.72069564921304,31.43748849005247
620,none,H116O58Pt64,238,-6.213515568201767,49.58801384068984,114.82125949331854,251.22453738244343,85,O,6.213515568201767,43.18713630168407
621,none,H117O62Pt64,243,-6.834464383032747,47.1983527024174,138.53695868902994,226.0130891410449,100,O,6.834464383032747,34.069141656532416
622,none,H117O62Pt64,243,-7.343144890700884,58.35931277664052,155.92070795052217,413.72740383171373,62,Pt,7.343144890700884,37.42884030205885
623,none,H116O62Pt64,242,-16.352829491514672,68.09430332303306,440.40856305357534,997.3476141662594,71,O,16.352829491514672,15.461621102664493
624,none,H116O62Pt64,242,-7.481887823183374,53.3969435894886,194.64562671225787,466.49136922868655,197,O,7.481887823183374,27.432901777148384
625,none,H116O62Pt64,242,-9.616503545154302,58.023305788035465,314.6538992937788,308.63459006042524,71,O,9.616503545154302,18.440358094485777
626,none,H116O62Pt64,242,-8.672748178326378,44.799915304904395,180.66880537962217,257.0465187678196,185,O,8.672748178326378,24.796707550465392
627,none,H116O62Pt64,242,-6.333402821251522,42.68450655285014,159.50743021813238,216.25942099618584,59,Pt,6.333402821251522,26.76019950573931
628,none,H116O62Pt64,242,-6.320946533829436,51.392816560969464,161.12362320122315,237.2345465894086,59,Pt,6.320946533829436,31.896512466571274
629,none,H116O64Pt64,244,-11.607893021346918,49.04397936905796,386.419876557313,238.84491266318355,63,Pt,11.607893021346918,12.691888369200868
630,none,H116O64Pt64,244,-9.773570347742414,41.09501639763731,191.18064120477683,222.6824656667121,133,O,9.773570347742414,21.495385797780507
631,none,H116O64Pt64,244,-9.338144269618244,48.64081732331504,162.88202237865482,248.44982730733915,187,O,9.338144269618244,29.862606451581772
632,none,H116O64Pt64,244,-7.375233708623202,56.575410744433626,171.69298798407632,594.3954775208163,59,Pt,7.375233708623202,32.95149755893392
633,none,H116O64Pt64,244,-7.204243038865913,89.26945402404638,168.94754222077174,919.1849906180853,56,Pt,7.204243038865913,52.83856329048799
634,none,H116O64Pt64,244,-7.978797849929952,50.27691386573726,161.94335675788705,336.61737291594727,59,Pt,7.978797849929952,31.045987234230065
635,none,H116O64Pt64,244,-11.4165170223893,56.20065104597552,398.93214888470203,308.4440946481355,56,Pt,11.4165170223893,14.087771868749147
636,none,H116O64Pt64,244,-9.898423436708503,49.426389880973474,274.07509629675286,232.94568399472,65,O,9.898423436708503,18.033885803129447
637,none,H118O74Pt64,256,-12.726783773814532,89.98676690651345,260.1290466476837,784.2697563480624,69,O,12.726783773814532,34.59312524540586
638,none,H118O74Pt64,256,-11.819616344837414,55.90286785716793,198.8319420457716,426.6613592172247,69,O,11.819616344837414,28.115637398089163
639,none,H116O74Pt64,254,-10.751726981903257,54.49634850287177,246.3611296960684,282.67527742425676,68,O,10.751726981903257,22.120514129036103
640,none,Pt64,64,-9.471970904087357,22.644885419519724,140.1800351598008,93.15423167384301,54,Pt,9.471970904087357,16.154144485486302
641,none,C9H95F19O58Pt64S,246,-9.52094202973346,62.55137902442919,110.66846858142442,517.6072416065489,102,F,9.52094202973346,56.52141014168544
642,none,C9H95F19O58Pt64S,246,-10.0441976392176,63.73525999618385,149.59879459063475,522.5147816489059,111,F,10.0441976392176,42.60412670475744
643,none,C9H95F19O58Pt64S,246,-8.826075868758684,58.38932407323493,93.511087408194,460.1827564922545,123,F,8.826075868758684,62.44107056348754
644,none,C9H95F19O58Pt64S,246,-8.868149319039922,56.52089143536797,97.10147805765195,368.1578899657239,119,F,8.868149319039922,58.20806497076172
645,none,C9H95F19O58Pt64S,246,-9.15939631806573,63.629810357845024,100.32927499558197,508.0259648430533,125,F,9.15939631806573,63.42098092570387
646,none,C9H95F19O58Pt64S,246,-9.878578217940527,69.120480308829,142.144821415796,573.1301344246845,123,F,9.878578217940527,48.62680161005704
647,none,C9H95F19O58Pt64S,246,-10.352743833682622,64.660946097458,178.95214795169466,483.9926457205889,119,F,10.352743833682622,36.13309302937912
648,none,C9H95F19O58Pt64S,246,-9.900070988214424,57.6975639082487,177.5197127829053,498.33327745020955,112,F,9.900070988214424,32.50206019587749
649,none,C9H95F19O58Pt64S,246,-9.022540895659212,55.41837498051688,92.4507452379997,418.8528149776922,124,F,9.022540895659212,59.943675778763186
650,none,C9H95F19O58Pt64S,246,-8.895587726217899,55.13989356398985,88.65756337739647,447.83445448824006,112,F,8.895587726217899,62.19423528398926
651,none,H116O58Pt,175,-10.672445737644532,44.68930722311502,441.3261782018169,229.10964068358152,126,O,10.672445737644532,10.126140127286707
652,none,H116O58Pt,175,-7.652998332487186,42.70221915849019,439.76675409483926,196.11365036241176,105,O,7.652998332487186,9.71019722634174
